diagnosis_code,diagnosis_description,overlap_1FL
O33.3XX1,"Maternal care for disproportion due to outlet contraction of pelvis, fetus 1",0
O36.20X0,"Maternal care for hydrops fetalis, unspecified trimester, not applicable or unspecified",0
O33.7XX0,"Maternal care for disproportion due to other fetal deformities, not applicable or unspecified",0
O70.22,"Third degree perineal laceration during delivery, IIIb",1
O65.4,"Obstructed labor due to fetopelvic disproportion, unspecified",0
O36.62X9,"Maternal care for excessive fetal growth, second trimester, other fetus",0
O69.4XX1,"Labor and delivery complicated by vasa previa, fetus 1",0
O00.20,Ovarian pregnancy without intrauterine pregnancy,0
O69.3XX0,"Labor and delivery complicated by short cord, not applicable or unspecified",0
O41.02X9,"Oligohydramnios, second trimester, other fetus",0
O42.019,"Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, unspecified trimester",0
O60.14X9,"Preterm labor third trimester with preterm delivery third trimester, other fetus",1
O24.83,Other pre-existing diabetes mellitus in the puerperium,1
O36.0999,"Maternal care for other rhesus isoimmunization, unspecified trimester, other fetus",0
O29.3X1,"Toxic reaction to local anesthesia during pregnancy, first trimester",0
O88.03,Air embolism in the puerperium,1
O41.1212,"Chorioamnionitis, first trimester, fetus 2",0
O98.13,Syphilis complicating the puerperium,0
O45.023,"Premature separation of placenta with disseminated intravascular coagulation, third trimester",1
O36.63X2,"Maternal care for excessive fetal growth, third trimester, fetus 2",0
O34.513,"Maternal care for incarceration of gravid uterus, third trimester",0
O36.1914,"Maternal care for other isoimmunization, first trimester, fetus 4",0
O30.122,"Triplet pregnancy with two or more monoamniotic fetuses, second trimester",1
O30.112,"Triplet pregnancy with two or more monochorionic fetuses, second trimester",1
O30.113,"Triplet pregnancy with two or more monochorionic fetuses, third trimester",1
O30.102,"Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester",1
O26.41,"Herpes gestationis, first trimester",0
O92.013,"Retracted nipple associated with pregnancy, third trimester",0
O36.5190,"Maternal care for known or suspected placental insufficiency, unspecified trimester, not applicable or unspecified",0
O29.023,"Pressure collapse of lung due to anesthesia during pregnancy, third trimester",0
O34.521,"Maternal care for prolapse of gravid uterus, first trimester",0
O31.8X30,"Other complications specific to multiple gestation, third trimester, not applicable or unspecified",1
O26.719,"Subluxation of symphysis (pubis) in pregnancy, unspecified trimester",0
O90.5,Postpartum thyroiditis,0
O32.0XX2,"Maternal care for unstable lie, fetus 2",0
O40.9XX9,"Polyhydramnios, unspecified trimester, other fetus",0
O36.5934,"Maternal care for other known or suspected poor fetal growth, third trimester, fetus 4",0
O35.8XX5,"Maternal care for other (suspected) fetal abnormality and damage, fetus 5",0
O46.029,"Antepartum hemorrhage with disseminated intravascular coagulation, unspecified trimester",1
O69.0XX3,"Labor and delivery complicated by prolapse of cord, fetus 3",0
O69.5XX0,"Labor and delivery complicated by vascular lesion of cord, not applicable or unspecified",0
O36.61X3,"Maternal care for excessive fetal growth, first trimester, fetus 3",0
O22.93,"Venous complication in pregnancy, unspecified, third trimester",0
O10.43,Pre-existing secondary hypertension complicating the puerperium,1
O36.1993,"Maternal care for other isoimmunization, unspecified trimester, fetus 3",0
O91.13,Abscess of breast associated with lactation,0
O43.231,"Placenta percreta, first trimester",0
O22.02,"Varicose veins of lower extremity in pregnancy, second trimester",0
O23.529,"Salpingo-oophoritis in pregnancy, unspecified trimester",0
O36.93X1,"Maternal care for fetal problem, unspecified, third trimester, fetus 1",0
O41.1432,"Placentitis, third trimester, fetus 2",0
O00.209,Unspecified ovarian pregnancy without intrauterine pregnancy,0
O41.02X4,"Oligohydramnios, second trimester, fetus 4",0
O92.119,"Cracked nipple associated with pregnancy, unspecified trimester",0
O34.519,"Maternal care for incarceration of gravid uterus, unspecified trimester",0
O36.1110,"Maternal care for Anti-A sensitization, first trimester, not applicable or unspecified",0
O36.5914,"Maternal care for other known or suspected poor fetal growth, first trimester, fetus 4",0
O41.90X0,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, not applicable or unspecified",0
O10.33,Pre-existing hypertensive heart and chronic kidney disease complicating the puerperium,1
O36.1139,"Maternal care for Anti-A sensitization, third trimester, other fetus",0
O36.0924,"Maternal care for other rhesus isoimmunization, second trimester, fetus 4",0
O41.1229,"Chorioamnionitis, second trimester, other fetus",0
O36.90X3,"Maternal care for fetal problem, unspecified, unspecified trimester, fetus 3",0
O36.93X2,"Maternal care for fetal problem, unspecified, third trimester, fetus 2",0
O64.4XX0,"Obstructed labor due to shoulder presentation, not applicable or unspecified",0
O64.8XX2,"Obstructed labor due to other malposition and malpresentation, fetus 2",0
O29.092,"Other pulmonary complications of anesthesia during pregnancy, second trimester",0
O87.8,Other venous complications in the puerperium,0
O00.112,Left tubal pregnancy with intrauterine pregnancy,0
O36.1935,"Maternal care for other isoimmunization, third trimester, fetus 5",0
O36.8391,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 1",0
O33.7XX1,"Maternal care for disproportion due to other fetal deformities, fetus 1",0
O31.20X1,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 1",0
O98.612,"Protozoal diseases complicating pregnancy, second trimester",0
O98.613,"Protozoal diseases complicating pregnancy, third trimester",0
O22.01,"Varicose veins of lower extremity in pregnancy, first trimester",0
O03.35,Other venous complications following incomplete spontaneous abortion,0
O31.11X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, not applicable or unspecified",1
O69.2XX1,"Labor and delivery complicated by other cord entanglement, with compression, fetus 1",0
O34.60,"Maternal care for abnormality of vagina, unspecified trimester",0
O36.63X3,"Maternal care for excessive fetal growth, third trimester, fetus 3",0
O31.23X9,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, other fetus",1
O36.0912,"Maternal care for other rhesus isoimmunization, first trimester, fetus 2",0
O35.7XX0,"Maternal care for (suspected) damage to fetus by other medical procedures, not applicable or unspecified",0
O41.00X9,"Oligohydramnios, unspecified trimester, other fetus",0
O69.5XX2,"Labor and delivery complicated by vascular lesion of cord, fetus 2",0
O36.22X1,"Maternal care for hydrops fetalis, second trimester, fetus 1",0
O32.1XX4,"Maternal care for breech presentation, fetus 4",1
O36.8922,"Maternal care for other specified fetal problems, second trimester, fetus 2",0
O34.91,"Maternal care for abnormality of pelvic organ, unspecified, first trimester",0
O36.0935,"Maternal care for other rhesus isoimmunization, third trimester, fetus 5",0
O68,Labor and delivery complicated by abnormality of fetal acid-base balance,0
O10.119,"Pre-existing hypertensive heart disease complicating pregnancy, unspecified trimester",1
O26.72,Subluxation of symphysis (pubis) in childbirth,0
O22.53,"Cerebral venous thrombosis in pregnancy, third trimester",1
O40.1XX1,"Polyhydramnios, first trimester, fetus 1",0
O41.1291,"Chorioamnionitis, unspecified trimester, fetus 1",0
O36.0193,"Maternal care for anti-D [Rh] antibodies, unspecified trimester, fetus 3",0
O31.13X2,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 2",1
O41.1022,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 2",0
O36.1999,"Maternal care for other isoimmunization, unspecified trimester, other fetus",0
O44.32,"Partial placenta previa with hemorrhage, second trimester",1
O69.2XX9,"Labor and delivery complicated by other cord entanglement, with compression, other fetus",0
O64.2XX0,"Obstructed labor due to face presentation, not applicable or unspecified",1
O30.222,"Quadruplet pregnancy with two or more monoamniotic fetuses, second trimester",1
O30.212,"Quadruplet pregnancy with two or more monochorionic fetuses, second trimester",1
O30.209,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester",0
O30.202,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester",1
O36.4XX3,"Maternal care for intrauterine death, fetus 3",1
O30.219,"Quadruplet pregnancy with two or more monochorionic fetuses, unspecified trimester",0
O30.291,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester",1
O36.4XX4,"Maternal care for intrauterine death, fetus 4",1
O30.121,"Triplet pregnancy with two or more monoamniotic fetuses, first trimester",1
O30.119,"Triplet pregnancy with two or more monochorionic fetuses, unspecified trimester",0
O31.8X33,"Other complications specific to multiple gestation, third trimester, fetus 3",1
O31.23X3,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 3",1
O26.711,"Subluxation of symphysis (pubis) in pregnancy, first trimester",0
O33.1,Maternal care for disproportion due to generally contracted pelvis,0
O22.11,"Genital varices in pregnancy, first trimester",0
O23.523,"Salpingo-oophoritis in pregnancy, third trimester",0
O43.119,"Circumvallate placenta, unspecified trimester",0
O36.71X1,"Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 1",0
O41.1013,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 3",0
O36.5112,"Maternal care for known or suspected placental insufficiency, first trimester, fetus 2",0
O41.8X24,"Other specified disorders of amniotic fluid and membranes, second trimester, fetus 4",0
O92.3,Agalactia,0
O98.011,"Tuberculosis complicating pregnancy, first trimester",0
O41.02X3,"Oligohydramnios, second trimester, fetus 3",0
O64.1XX9,"Obstructed labor due to breech presentation, other fetus",1
O23.521,"Salpingo-oophoritis in pregnancy, first trimester",0
O69.82X1,"Labor and delivery complicated by other cord entanglement, without compression, fetus 1",0
O34.539,"Maternal care for retroversion of gravid uterus, unspecified trimester",0
O60.20X2,"Term delivery with preterm labor, unspecified trimester, fetus 2",0
O60.20X1,"Term delivery with preterm labor, unspecified trimester, fetus 1",0
O30.021,"Conjoined twin pregnancy, first trimester",0
O36.61X2,"Maternal care for excessive fetal growth, first trimester, fetus 2",0
O32.2XX9,"Maternal care for transverse and oblique lie, other fetus",1
O36.4XX9,"Maternal care for intrauterine death, other fetus",1
O33.7,Maternal care for disproportion due to other fetal deformities,0
O26.01,"Excessive weight gain in pregnancy, first trimester",0
O36.8399,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, other fetus",0
O41.1223,"Chorioamnionitis, second trimester, fetus 3",0
O36.8322,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 2",0
O36.8323,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 3",0
O69.81X3,"Labor and delivery complicated by cord around neck, without compression, fetus 3",0
O32.2XX3,"Maternal care for transverse and oblique lie, fetus 3",1
O29.5X9,"Other complications of spinal and epidural anesthesia during pregnancy, unspecified trimester",0
O89.9,"Complication of anesthesia during the puerperium, unspecified",0
O91.213,"Nonpurulent mastitis associated with pregnancy, third trimester",0
O36.92X1,"Maternal care for fetal problem, unspecified, second trimester, fetus 1",0
O30.193,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester",1
O41.8X13,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 3",0
O41.8X19,"Other specified disorders of amniotic fluid and membranes, first trimester, other fetus",0
O33.8,Maternal care for disproportion of other origin,0
O88.12,Amniotic fluid embolism in childbirth,1
O88.13,Amniotic fluid embolism in the puerperium,1
O41.1012,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 2",0
O03.33,Metabolic disorder following incomplete spontaneous abortion,0
O35.3XX3,"Maternal care for (suspected) damage to fetus from viral disease in mother, fetus 3",0
O46.021,"Antepartum hemorrhage with disseminated intravascular coagulation, first trimester",0
O41.1039,"Infection of amniotic sac and membranes, unspecified, third trimester, other fetus",0
O36.0194,"Maternal care for anti-D [Rh] antibodies, unspecified trimester, fetus 4",0
O88.312,"Pyemic and septic embolism in pregnancy, second trimester",1
O60.20X9,"Term delivery with preterm labor, unspecified trimester, other fetus",0
O45.8X9,"Other premature separation of placenta, unspecified trimester",1
O36.1991,"Maternal care for other isoimmunization, unspecified trimester, fetus 1",0
O36.1131,"Maternal care for Anti-A sensitization, third trimester, fetus 1",0
O36.5111,"Maternal care for known or suspected placental insufficiency, first trimester, fetus 1",0
O60.13X3,"Preterm labor second trimester with preterm delivery third trimester, fetus 3",1
O74.2,Cardiac complications of anesthesia during labor and delivery,1
O36.90X2,"Maternal care for fetal problem, unspecified, unspecified trimester, fetus 2",0
O66.1,Obstructed labor due to locked twins,1
O36.1199,"Maternal care for Anti-A sensitization, unspecified trimester, other fetus",0
O30.022,"Conjoined twin pregnancy, second trimester",0
O30.023,"Conjoined twin pregnancy, third trimester",0
O45.009,"Premature separation of placenta with coagulation defect, unspecified, unspecified trimester",1
O31.33X2,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 2",0
O31.33X3,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 3",0
O31.30X3,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 3",0
O36.8392,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 2",0
O31.33X1,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 1",0
O31.12X2,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, fetus 2",1
O36.92X2,"Maternal care for fetal problem, unspecified, second trimester, fetus 2",0
O36.0919,"Maternal care for other rhesus isoimmunization, first trimester, other fetus",0
O36.1992,"Maternal care for other isoimmunization, unspecified trimester, fetus 2",0
O41.1215,"Chorioamnionitis, first trimester, fetus 5",0
O36.5994,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 4",0
O36.1924,"Maternal care for other isoimmunization, second trimester, fetus 4",0
O64.9XX1,"Obstructed labor due to malposition and malpresentation, unspecified, fetus 1",0
O36.23X4,"Maternal care for hydrops fetalis, third trimester, fetus 4",0
O40.1XX3,"Polyhydramnios, first trimester, fetus 3",0
O60.22X9,"Term delivery with preterm labor, second trimester, other fetus",1
O22.8X9,"Other venous complications in pregnancy, unspecified trimester",0
O60.22X0,"Term delivery with preterm labor, second trimester, not applicable or unspecified",1
O41.1021,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 1",0
O36.93X9,"Maternal care for fetal problem, unspecified, third trimester, other fetus",0
O64.8XX1,"Obstructed labor due to other malposition and malpresentation, fetus 1",0
O60.13X9,"Preterm labor second trimester with preterm delivery third trimester, other fetus",1
O41.1233,"Chorioamnionitis, third trimester, fetus 3",0
O30.203,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester",1
O07.1,Delayed or excessive hemorrhage following failed attempted termination of pregnancy,0
O36.8910,"Maternal care for other specified fetal problems, first trimester, not applicable or unspecified",0
O64.2XX1,"Obstructed labor due to face presentation, fetus 1",1
O32.3XX1,"Maternal care for face, brow and chin presentation, fetus 1",1
O32.4XX2,"Maternal care for high head at term, fetus 2",0
O32.4XX1,"Maternal care for high head at term, fetus 1",0
O36.23X1,"Maternal care for hydrops fetalis, third trimester, fetus 1",0
O32.3XX2,"Maternal care for face, brow and chin presentation, fetus 2",1
O34.522,"Maternal care for prolapse of gravid uterus, second trimester",0
O36.5133,"Maternal care for known or suspected placental insufficiency, third trimester, fetus 3",0
O41.1420,"Placentitis, second trimester, not applicable or unspecified",0
O30.813,"Other specified multiple gestation with two or more monochorionic fetuses, third trimester",1
O89.2,Central nervous system complications of anesthesia during the puerperium,1
O36.8939,"Maternal care for other specified fetal problems, third trimester, other fetus",0
O36.1995,"Maternal care for other isoimmunization, unspecified trimester, fetus 5",0
O36.8311,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 1",0
O30.029,"Conjoined twin pregnancy, unspecified trimester",0
O10.311,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first trimester",1
O10.313,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester",1
O29.90,"Unspecified complication of anesthesia during pregnancy, unspecified trimester",0
O29.191,"Other cardiac complications of anesthesia during pregnancy, first trimester",0
O36.5995,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 5",0
O29.41,"Spinal and epidural anesthesia induced headache during pregnancy, first trimester",0
O43.029,"Fetus-to-fetus placental transfusion syndrome, unspecified trimester",0
O69.1XX2,"Labor and delivery complicated by cord around neck, with compression, fetus 2",0
O36.80X5,"Pregnancy with inconclusive fetal viability, fetus 5",0
O36.5923,"Maternal care for other known or suspected poor fetal growth, second trimester, fetus 3",0
O00.119,Unspecified tubal pregnancy with intrauterine pregnancy,0
O36.20X1,"Maternal care for hydrops fetalis, unspecified trimester, fetus 1",0
O22.20,"Superficial thrombophlebitis in pregnancy, unspecified trimester",0
O43.211,"Placenta accreta, first trimester",0
O36.8339,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, other fetus",0
O36.8193,"Decreased fetal movements, unspecified trimester, fetus 3",0
O26.73,Subluxation of symphysis (pubis) in the puerperium,0
O46.023,"Antepartum hemorrhage with disseminated intravascular coagulation, third trimester",1
O31.12X1,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, fetus 1",1
O36.5192,"Maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 2",0
O45.092,"Premature separation of placenta with other coagulation defect, second trimester",1
O30.192,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester",1
O69.0XX9,"Labor and delivery complicated by prolapse of cord, other fetus",0
O36.73X2,"Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 2",0
O40.9XX3,"Polyhydramnios, unspecified trimester, fetus 3",0
O36.8299,"Fetal anemia and thrombocytopenia, unspecified trimester, other fetus",0
O88.113,"Amniotic fluid embolism in pregnancy, third trimester",1
O36.72X0,"Maternal care for viable fetus in abdominal pregnancy, second trimester, not applicable or unspecified",0
O32.6XX9,"Maternal care for compound presentation, other fetus",0
O29.8X2,"Other complications of anesthesia during pregnancy, second trimester",0
O92.20,Unspecified disorder of breast associated with pregnancy and the puerperium,0
O29.012,"Aspiration pneumonitis due to anesthesia during pregnancy, second trimester",0
O43.221,"Placenta increta, first trimester",0
O36.8312,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 2",0
O29.293,"Other central nervous system complications of anesthesia during pregnancy, third trimester",1
O30.129,"Triplet pregnancy with two or more monoamniotic fetuses, unspecified trimester",0
O30.123,"Triplet pregnancy with two or more monoamniotic fetuses, third trimester",1
O22.8X1,"Other venous complications in pregnancy, first trimester",0
O45.002,"Premature separation of placenta with coagulation defect, unspecified, second trimester",1
O41.1211,"Chorioamnionitis, first trimester, fetus 1",0
O34.533,"Maternal care for retroversion of gravid uterus, third trimester",0
O41.01X2,"Oligohydramnios, first trimester, fetus 2",0
305.1,Tobacco use disorder,0
745.5,Ostium secundum type atrial septal defect,0
581.9,Nephrotic syndrome with unspecified pathological lesion in kidney,0
745.4,Ventricular septal defect,0
587,"Renal sclerosis, unspecified",0
745.19,Other transposition of great vessels,0
747.31,Pulmonary artery coarctation and atresia,0
745.69,Other endocardial cushion defects,0
745.61,Ostium primum defect,0
747.39,Other anomalies of pulmonary artery and pulmonary circulation,0
747,Patent ductus arteriosus,0
745.9,Unspecified defect of septal closure,0
745.12,Corrected transposition of great vessels,0
745.2,Tetralogy of fallot,0
581.1,Nephrotic syndrome with lesion of membranous glomerulonephritis,0
745,Common truncus,0
747.11,Interruption of aortic arch,0
747.41,Total anomalous pulmonary venous connection,0
747.42,Partial anomalous pulmonary venous connection,0
581.81,Nephrotic syndrome in diseases classified elsewhere,0
277,Cystic fibrosis without mention of meconium ileus,0
747.49,Other anomalies of great veins,0
745.3,Common ventricle,0
747.21,Anomalies of aortic arch,0
747.22,Atresia and stenosis of aorta,0
277.09,Cystic fibrosis with other manifestations,0
745.11,Double outlet right ventricle,0
747.29,Other anomalies of aorta,0
745.8,Other bulbus cordis anomalies and anomalies of cardiac septal closure,0
747.32,Pulmonary arteriovenous malformation,0
747.3,"Anomalies of pulmonary artery, congenital",0
277.01,Cystic fibrosis with meconium ileus,0
277.03,Cystic fibrosis with gastrointestinal manifestations,0
277.02,Cystic fibrosis with pulmonary manifestations,0
581.3,Nephrotic syndrome with lesion of minimal change glomerulonephritis,0
581,Nephrotic syndrome with lesion of proliferative glomerulonephritis,0
783.22,Underweight,0
401.1,Benign essential hypertension,0
401.9,Unspecified essential hypertension,0
296.35,"Major depressive affective disorder, recurrent episode, in partial or unspecified remission",0
296.32,"Major depressive affective disorder, recurrent episode, moderate",0
296.34,"Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior",0
296.31,"Major depressive affective disorder, recurrent episode, mild",0
296.25,"Major depressive affective disorder, single episode, in partial or unspecified remission",0
286.9,Other and unspecified coagulation defects,0
280.9,"Iron deficiency anemia, unspecified",0
278.01,Morbid obesity,0
304.21,"Cocaine dependence, continuous",0
287.5,"Thrombocytopenia, unspecified",0
573.9,Unspecified disorder of liver,0
309.81,Posttraumatic stress disorder,0
427.9,"Cardiac dysrhythmia, unspecified",0
276.8,Hypopotassemia,0
300.4,Dysthymic disorder,0
250.01,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled",0
714.9,Unspecified inflammatory polyarthropathy,0
244.9,Unspecified acquired hypothyroidism,0
783.21,Loss of weight,0
250.11,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled",0
585.9,"Chronic kidney disease, unspecified",0
710.2,Sicca syndrome,0
720.2,"Sacroiliitis, not elsewhere classified",0
493.92,"Asthma, unspecified type, with (acute) exacerbation",0
305.93,"Other, mixed, or unspecified drug abuse, in remission",0
240.9,"Goiter, unspecified",0
305.91,"Other, mixed, or unspecified drug abuse, continuous",0
304.01,"Opioid type dependence, continuous",0
573.8,Other specified disorders of liver,0
184.1,Malignant neoplasm of labia majora,0
415.19,Other pulmonary embolism and infarction,0
276.69,Other fluid overload,0
427.89,Other specified cardiac dysrhythmias,0
276.51,Dehydration,0
780.39,Other convulsions,0
276.1,Hyposmolality and/or hyponatremia,0
728.89,"Other disorders of muscle, ligament, and fascia",0
276.52,Hypovolemia,0
493.91,"Asthma, unspecified type, with status asthmaticus",0
298.9,Unspecified psychosis,0
304.03,"Opioid type dependence, in remission",0
305.72,"Amphetamine or related acting sympathomimetic abuse, episodic",0
304.71,"Combinations of opioid type drug with any other drug dependence, continuous",0
428.9,"Heart failure, unspecified",0
416.8,Other chronic pulmonary heart diseases,0
250.02,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",0
427.2,"Paroxysmal tachycardia, unspecified",0
710.1,Systemic sclerosis,0
244.8,Other specified acquired hypothyroidism,0
287.31,Immune thrombocytopenic purpura,0
425.4,Other primary cardiomyopathies,0
425.9,"Secondary cardiomyopathy, unspecified",0
296.33,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior",0
296.26,"Major depressive affective disorder, single episode, in full remission",0
296.22,"Major depressive affective disorder, single episode, moderate",0
345.11,"Generalized convulsive epilepsy, with intractable epilepsy",0
292.84,Drug-induced mood disorder,0
714.89,Other specified inflammatory polyarthropathies,0
493.02,Extrinsic asthma with (acute) exacerbation,0
286.3,Congenital deficiency of other clotting factors,0
784.3,Aphasia,0
246.8,Other specified disorders of thyroid,0
180.8,Malignant neoplasm of other specified sites of cervix,0
180.9,"Malignant neoplasm of cervix uteri, unspecified site",0
184.4,"Malignant neoplasm of vulva, unspecified site",0
493.81,Exercise induced bronchospasm,0
286.6,Defibrination syndrome,0
746.3,Congenital stenosis of aortic valve,0
746.4,Congenital insufficiency of aortic valve,0
424.1,Aortic valve disorders,0
996.01,Mechanical complication due to cardiac pacemaker (electrode),0
199.1,Other malignant neoplasm without specification of site,0
250.61,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled",0
276.7,Hyperpotassemia,0
250.63,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled",0
250.42,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled",0
250.12,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled",0
278.02,Overweight,0
305.22,"Cannabis abuse, episodic",0
427.69,Other premature beats,0
427.1,Paroxysmal ventricular tachycardia,0
427.61,Supraventricular premature beats,0
293.82,Psychotic disorder with hallucinations in conditions classified elsewhere,0
427.31,Atrial fibrillation,0
571.8,Other chronic nonalcoholic liver disease,0
491.9,Unspecified chronic bronchitis,0
405.99,Other unspecified secondary hypertension,0
293.84,Anxiety disorder in conditions classified elsewhere,0
250.03,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled",0
250.43,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled",0
710.4,Polymyositis,0
304.02,"Opioid type dependence, episodic",0
281.4,Protein-deficiency anemia,0
309.9,Unspecified adjustment reaction,0
309.24,Adjustment disorder with anxiety,0
720.1,Spinal enthesopathy,0
493.01,Extrinsic asthma with status asthmaticus,0
244.1,Other postablative hypothyroidism,0
250.92,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled",0
427.32,Atrial flutter,0
304.92,"Unspecified drug dependence, episodic",0
415.11,Iatrogenic pulmonary embolism and infarction,0
250.13,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled",0
250.53,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled",0
250.51,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled",0
250.93,"Diabetes with unspecified complication, type I [juvenile type], uncontrolled",0
250.91,"Diabetes with unspecified complication, type I [juvenile type], not stated as uncontrolled",0
402.91,Unspecified hypertensive heart disease with heart failure,0
428.21,Acute systolic heart failure,0
425.8,Cardiomyopathy in other diseases classified elsewhere,0
309.28,Adjustment disorder with mixed anxiety and depressed mood,0
746.6,Congenital mitral insufficiency,0
394.9,Other and unspecified mitral valve diseases,0
571.5,Cirrhosis of liver without mention of alcohol,0
571.2,Alcoholic cirrhosis of liver,0
303.93,"Other and unspecified alcohol dependence, in remission",0
573.3,"Hepatitis, unspecified",0
341.9,"Demyelinating disease of central nervous system, unspecified",0
305.21,"Cannabis abuse, continuous",0
572.8,Other sequelae of chronic liver disease,0
345.91,"Epilepsy, unspecified, with intractable epilepsy",0
180.1,Malignant neoplasm of exocervix,0
276.3,Alkalosis,0
585.1,"Chronic kidney disease, Stage I",0
276.9,Electrolyte and fluid disorders not elsewhere classified,0
428.22,Chronic systolic heart failure,0
276.2,Acidosis,0
428.1,Left heart failure,0
170.9,"Malignant neoplasm of bone and articular cartilage, site unspecified",0
170.3,"Malignant neoplasm of ribs, sternum, and clavicle",0
153.9,"Malignant neoplasm of colon, unspecified site",0
345.41,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy",0
304.12,"Sedative, hypnotic or anxiolytic dependence, episodic",0
728.5,Hypermobility syndrome,0
304.42,"Amphetamine and other psychostimulant dependence, episodic",0
304.32,"Cannabis dependence, episodic",0
303.92,"Other and unspecified alcohol dependence, episodic",0
304.33,"Cannabis dependence, in remission",0
296.52,"Bipolar I disorder, most recent episode (or current) depressed, moderate",0
304.52,"Hallucinogen dependence, episodic",0
296.23,"Major depressive affective disorder, single episode, severe, without mention of psychotic behavior",0
287.33,Congenital and hereditary thrombocytopenic purpura,0
348.39,Other encephalopathy,0
296.21,"Major depressive affective disorder, single episode, mild",0
305.42,"Sedative, hypnotic or anxiolytic abuse, episodic",0
296.51,"Bipolar I disorder, most recent episode (or current) depressed, mild",0
291.81,Alcohol withdrawal,0
150.9,"Malignant neoplasm of esophagus, unspecified site",0
585.3,"Chronic kidney disease, Stage III (moderate)",0
238.6,Neoplasm of uncertain behavior of plasma cells,0
305.61,"Cocaine abuse, continuous",0
276.4,Mixed acid-base balance disorder,0
250.62,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled",0
250.52,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled",0
305.63,"Cocaine abuse, in remission",0
440.23,Atherosclerosis of native arteries of the extremities with ulceration,0
446.6,Thrombotic microangiopathy,0
281.9,Unspecified deficiency anemia,0
191.1,Malignant neoplasm of frontal lobe,0
293.83,Mood disorder in conditions classified elsewhere,0
280.8,Other specified iron deficiency anemias,0
710.9,Unspecified diffuse connective tissue disease,0
