"diagnosis_code","diagnosis_description"
"O30.091","Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester"
"O22.00","Varicose veins of lower extremity in pregnancy, unspecified trimester"
"O72.2","Delayed and secondary postpartum hemorrhage"
"O35.9XX2","Maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 2"
"O36.0922","Maternal care for other rhesus isoimmunization, second trimester, fetus 2"
"O23.33","Infections of other parts of urinary tract in pregnancy, third trimester"
"O23.92","Unspecified genitourinary tract infection in pregnancy, second trimester"
"O36.0934","Maternal care for other rhesus isoimmunization, third trimester, fetus 4"
"O22.40","Hemorrhoids in pregnancy, unspecified trimester"
"O36.80X9","Pregnancy with inconclusive fetal viability, other fetus"
"O41.03X1","Oligohydramnios, third trimester, fetus 1"
"O36.5939","Maternal care for other known or suspected poor fetal growth, third trimester, other fetus"
"O71.2","Postpartum inversion of uterus"
"O23.01","Infections of kidney in pregnancy, first trimester"
"O36.0910","Maternal care for other rhesus isoimmunization, first trimester, not applicable or unspecified"
"O36.0113","Maternal care for anti-D [Rh] antibodies, first trimester, fetus 3"
"O41.8X20","Other specified disorders of amniotic fluid and membranes, second trimester, not applicable or unspecified"
"O46.8X2","Other antepartum hemorrhage, second trimester"
"O32.6XX0","Maternal care for compound presentation, not applicable or unspecified"
"O24.434","Gestational diabetes mellitus in the puerperium, insulin controlled"
"O00.101","Right tubal pregnancy without intrauterine pregnancy"
"O71.89","Other specified obstetric trauma"
"O99.350","Diseases of the nervous system complicating pregnancy, unspecified trimester"
"O40.2XX0","Polyhydramnios, second trimester, not applicable or unspecified"
"O69.0XX1","Labor and delivery complicated by prolapse of cord, fetus 1"
"O32.2XX1","Maternal care for transverse and oblique lie, fetus 1"
"O60.23X0","Term delivery with preterm labor, third trimester, not applicable or unspecified"
"O41.01X1","Oligohydramnios, first trimester, fetus 1"
"O99.711","Diseases of the skin and subcutaneous tissue complicating pregnancy, first trimester"
"O23.12","Infections of bladder in pregnancy, second trimester"
"O23.91","Unspecified genitourinary tract infection in pregnancy, first trimester"
"O23.519","Infections of cervix in pregnancy, unspecified trimester"
"O26.86","Pruritic urticarial papules and plaques of pregnancy (PUPPP)"
"O32.9XX1","Maternal care for malpresentation of fetus, unspecified, fetus 1"
"O00.01","Abdominal pregnancy with intrauterine pregnancy"
"O66.9","Obstructed labor, unspecified"
"O26.839","Pregnancy related renal disease, unspecified trimester"
"O26.00","Excessive weight gain in pregnancy, unspecified trimester"
"O01.9","Hydatidiform mole, unspecified"
"O43.109","Malformation of placenta, unspecified, unspecified trimester"
"O01.0","Classical hydatidiform mole"
"O30.092","Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester"
"O30.92","Multiple gestation, unspecified, second trimester"
"O64.3XX0","Obstructed labor due to brow presentation, not applicable or unspecified"
"O63.1","Prolonged second stage (of labor)"
"O99.310","Alcohol use complicating pregnancy, unspecified trimester"
"O86.29","Other urinary tract infection following delivery"
"O26.823","Pregnancy related peripheral neuritis, third trimester"
"O99.325","Drug use complicating the puerperium"
"O32.9XX2","Maternal care for malpresentation of fetus, unspecified, fetus 2"
"O34.00","Maternal care for unspecified congenital malformation of uterus, unspecified trimester"
"O14.02","Mild to moderate pre-eclampsia, second trimester"
"O34.02","Maternal care for unspecified congenital malformation of uterus, second trimester"
"O99.825","Streptococcus B carrier state complicating the puerperium"
"O08.0","Genital tract and pelvic infection following ectopic and molar pregnancy"
"O36.0923","Maternal care for other rhesus isoimmunization, second trimester, fetus 3"
"O36.0933","Maternal care for other rhesus isoimmunization, third trimester, fetus 3"
"O36.0920","Maternal care for other rhesus isoimmunization, second trimester, not applicable or unspecified"
"O36.0124","Maternal care for anti-D [Rh] antibodies, second trimester, fetus 4"
"O36.0913","Maternal care for other rhesus isoimmunization, first trimester, fetus 3"
"O36.1133","Maternal care for Anti-A sensitization, third trimester, fetus 3"
"O36.0123","Maternal care for anti-D [Rh] antibodies, second trimester, fetus 3"
"O36.0914","Maternal care for other rhesus isoimmunization, first trimester, fetus 4"
"O98.53","Other viral diseases complicating the puerperium"
"O36.1134","Maternal care for Anti-A sensitization, third trimester, fetus 4"
"O30.133","Triplet pregnancy, trichorionic/triamniotic, third trimester"
"O30.103","Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
"O32.9XX3","Maternal care for malpresentation of fetus, unspecified, fetus 3"
"O30.109","Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
"O30.039","Twin pregnancy, monochorionic/diamniotic, unspecified trimester"
"O36.5921","Maternal care for other known or suspected poor fetal growth, second trimester, fetus 1"
"O10.419","Pre-existing secondary hypertension complicating pregnancy, unspecified trimester"
"O41.8X90","Other specified disorders of amniotic fluid and membranes, unspecified trimester, not applicable or unspecified"
"O35.8XX3","Maternal care for other (suspected) fetal abnormality and damage, fetus 3"
"O36.60X1","Maternal care for excessive fetal growth, unspecified trimester, fetus 1"
"O26.31","Retained intrauterine contraceptive device in pregnancy, first trimester"
"O71.9","Obstetric trauma, unspecified"
"O31.11X1","Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 1"
"O26.819","Pregnancy related exhaustion and fatigue, unspecified trimester"
"O31.10X0","Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, not applicable or unspecified"
"O31.11X2","Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 2"
"O00.201","Right ovarian pregnancy without intrauterine pregnancy"
"O43.113","Circumvallate placenta, third trimester"
"O00.91","Unspecified ectopic pregnancy with intrauterine pregnancy"
"O36.0114","Maternal care for anti-D [Rh] antibodies, first trimester, fetus 4"
"O36.1934","Maternal care for other isoimmunization, third trimester, fetus 4"
"O12.04","Gestational edema, complicating childbirth"
"O32.3XX0","Maternal care for face, brow and chin presentation, not applicable or unspecified"
"O12.22","Gestational edema with proteinuria, second trimester"
"O35.3XX1","Maternal care for (suspected) damage to fetus from viral disease in mother, fetus 1"
"O11.1","Pre-existing hypertension with pre-eclampsia, first trimester"
"O01.1","Incomplete and partial hydatidiform mole"
"O88.311","Pyemic and septic embolism in pregnancy, first trimester"
"O36.92X0","Maternal care for fetal problem, unspecified, second trimester, not applicable or unspecified"
"O98.92","Unspecified maternal infectious and parasitic disease complicating childbirth"
"O30.93","Multiple gestation, unspecified, third trimester"
"O60.13X2","Preterm labor second trimester with preterm delivery third trimester, fetus 2"
"O41.1430","Placentitis, third trimester, not applicable or unspecified"
"O10.13","Pre-existing hypertensive heart disease complicating the puerperium"
"O66.8","Other specified obstructed labor"
"O42.012","Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, second trimester"
"O91.219","Nonpurulent mastitis associated with pregnancy, unspecified trimester"
"O24.811","Other pre-existing diabetes mellitus in pregnancy, first trimester"
"O62.4","Hypertonic, incoordinate, and prolonged uterine contractions"
"O64.0XX0","Obstructed labor due to incomplete rotation of fetal head, not applicable or unspecified"
"O88.219","Thromboembolism in pregnancy, unspecified trimester"
"O43.192","Other malformation of placenta, second trimester"
"O45.003","Premature separation of placenta with coagulation defect, unspecified, third trimester"
"O69.4XX0","Labor and delivery complicated by vasa previa, not applicable or unspecified"
"O64.0XX1","Obstructed labor due to incomplete rotation of fetal head, fetus 1"
"O86.04","Sepsis following an obstetrical procedure"
"O23.90","Unspecified genitourinary tract infection in pregnancy, unspecified trimester"
"O24.813","Other pre-existing diabetes mellitus in pregnancy, third trimester"
"O42.12","Full-term premature rupture of membranes, onset of labor more than 24 hours following rupture"
"O64.1XX1","Obstructed labor due to breech presentation, fetus 1"
"O14.20","HELLP syndrome (HELLP), unspecified trimester"
"O35.8XX2","Maternal care for other (suspected) fetal abnormality and damage, fetus 2"
"O26.813","Pregnancy related exhaustion and fatigue, third trimester"
"O23.32","Infections of other parts of urinary tract in pregnancy, second trimester"
"O34.218","Maternal care for other type scar from previous cesarean delivery"
"O98.912","Unspecified maternal infectious and parasitic disease complicating pregnancy, second trimester"
"O34.593","Maternal care for other abnormalities of gravid uterus, third trimester"
"O86.89","Other specified puerperal infections"
"O60.10X3","Preterm labor with preterm delivery, unspecified trimester, fetus 3"
"O69.89X9","Labor and delivery complicated by other cord complications, other fetus"
"O28.1","Abnormal biochemical finding on antenatal screening of mother"
"O98.913","Unspecified maternal infectious and parasitic disease complicating pregnancy, third trimester"
"O10.319","Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, unspecified trimester"
"O42.911","Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, first trimester"
"O36.0911","Maternal care for other rhesus isoimmunization, first trimester, fetus 1"
"O24.32","Unspecified pre-existing diabetes mellitus in childbirth"
"O43.022","Fetus-to-fetus placental transfusion syndrome, second trimester"
"O14.23","HELLP syndrome (HELLP), third trimester"
"O70.9","Perineal laceration during delivery, unspecified"
"O26.63","Liver and biliary tract disorders in the puerperium"
"O25.3","Malnutrition in the puerperium"
"O25.2","Malnutrition in childbirth"
"O69.89X2","Labor and delivery complicated by other cord complications, fetus 2"
"O36.8932","Maternal care for other specified fetal problems, third trimester, fetus 2"
"O99.840","Bariatric surgery status complicating pregnancy, unspecified trimester"
"O32.2XX2","Maternal care for transverse and oblique lie, fetus 2"
"O99.815","Abnormal glucose complicating the puerperium"
"O91.113","Abscess of breast associated with pregnancy, third trimester"
"O34.61","Maternal care for abnormality of vagina, first trimester"
"O26.53","Maternal hypotension syndrome, third trimester"
"O74.6","Other complications of spinal and epidural anesthesia during labor and delivery"
"O43.233","Placenta percreta, third trimester"
"O98.919","Unspecified maternal infectious and parasitic disease complicating pregnancy, unspecified trimester"
"O36.1932","Maternal care for other isoimmunization, third trimester, fetus 2"
"O26.03","Excessive weight gain in pregnancy, third trimester"
"O26.713","Subluxation of symphysis (pubis) in pregnancy, third trimester"
"O43.892","Other placental disorders, second trimester"
"O69.1XX1","Labor and delivery complicated by cord around neck, with compression, fetus 1"
"O60.13X1","Preterm labor second trimester with preterm delivery third trimester, fetus 1"
"O91.111","Abscess of breast associated with pregnancy, first trimester"
"O69.82X0","Labor and delivery complicated by other cord entanglement, without compression, not applicable or unspecified"
"O03.31","Shock following incomplete spontaneous abortion"
"O03.0","Genital tract and pelvic infection following incomplete spontaneous abortion"
"O41.1210","Chorioamnionitis, first trimester, not applicable or unspecified"
"O75.2","Pyrexia during labor, not elsewhere classified"
"O70.20","Third degree perineal laceration during delivery, unspecified"
"O26.40","Herpes gestationis, unspecified trimester"
"O98.23","Gonorrhea complicating the puerperium"
"O64.8XX0","Obstructed labor due to other malposition and malpresentation, not applicable or unspecified"
"O32.1XX3","Maternal care for breech presentation, fetus 3"
"O44.30","Partial placenta previa with hemorrhage, unspecified trimester"
"O15.1","Eclampsia complicating labor"
"O36.8920","Maternal care for other specified fetal problems, second trimester, not applicable or unspecified"
"O74.9","Complication of anesthesia during labor and delivery, unspecified"
"O00.80","Other ectopic pregnancy without intrauterine pregnancy"
"O00.111","Right tubal pregnancy with intrauterine pregnancy"
"O88.83","Other embolism in the puerperium"
"O88.23","Thromboembolism in the puerperium"
"O70.2","Third degree perineal laceration during delivery"
"O34.73","Maternal care for abnormality of vulva and perineum, third trimester"
"O41.93X0","Disorder of amniotic fluid and membranes, unspecified, third trimester, not applicable or unspecified"
"O41.1299","Chorioamnionitis, unspecified trimester, other fetus"
"O41.1090","Infection of amniotic sac and membranes, unspecified, unspecified trimester, not applicable or unspecified"
"O43.232","Placenta percreta, second trimester"
"O43.239","Placenta percreta, unspecified trimester"
"O36.8230","Fetal anemia and thrombocytopenia, third trimester, not applicable or unspecified"
"O60.12X2","Preterm labor second trimester with preterm delivery second trimester, fetus 2"
"O60.10X2","Preterm labor with preterm delivery, unspecified trimester, fetus 2"
"O41.1232","Chorioamnionitis, third trimester, fetus 2"
"O40.3XX3","Polyhydramnios, third trimester, fetus 3"
"O34.72","Maternal care for abnormality of vulva and perineum, second trimester"
"O65.5","Obstructed labor due to abnormality of maternal pelvic organs"
"O36.5919","Maternal care for other known or suspected poor fetal growth, first trimester, other fetus"
"O36.0931","Maternal care for other rhesus isoimmunization, third trimester, fetus 1"
"O07.39","Failed attempted termination of pregnancy with other complications"
"O36.5922","Maternal care for other known or suspected poor fetal growth, second trimester, fetus 2"
"O29.5X3","Other complications of spinal and epidural anesthesia during pregnancy, third trimester"
"O70.23","Third degree perineal laceration during delivery, IIIc"
"O24.82","Other pre-existing diabetes mellitus in childbirth"
"O88.011","Air embolism in pregnancy, first trimester"
"O22.92","Venous complication in pregnancy, unspecified, second trimester"
"O25.12","Malnutrition in pregnancy, second trimester"
"O36.5915","Maternal care for other known or suspected poor fetal growth, first trimester, fetus 5"
"O45.91","Premature separation of placenta, unspecified, first trimester"
"O28.2","Abnormal cytological finding on antenatal screening of mother"
"O30.90","Multiple gestation, unspecified, unspecified trimester"
"O69.0XX2","Labor and delivery complicated by prolapse of cord, fetus 2"
"O99.834","Other infection carrier state complicating childbirth"
"O36.93X0","Maternal care for fetal problem, unspecified, third trimester, not applicable or unspecified"
"O35.1XX2","Maternal care for (suspected) chromosomal abnormality in fetus, fetus 2"
"O36.5131","Maternal care for known or suspected placental insufficiency, third trimester, fetus 1"
"O60.22X1","Term delivery with preterm labor, second trimester, fetus 1"
"O36.8132","Decreased fetal movements, third trimester, fetus 2"
"O40.1XX0","Polyhydramnios, first trimester, not applicable or unspecified"
"O36.1990","Maternal care for other isoimmunization, unspecified trimester, not applicable or unspecified"
"O24.03","Pre-existing type 1 diabetes mellitus, in the puerperium"
"O66.2","Obstructed labor due to unusually large fetus"
"O41.1222","Chorioamnionitis, second trimester, fetus 2"
"O41.02X1","Oligohydramnios, second trimester, fetus 1"
"O36.1919","Maternal care for other isoimmunization, first trimester, other fetus"
"O35.0XX2","Maternal care for (suspected) central nervous system malformation in fetus, fetus 2"
"O22.8X3","Other venous complications in pregnancy, third trimester"
"O40.3XX9","Polyhydramnios, third trimester, other fetus"
"O08.82","Sepsis following ectopic and molar pregnancy"
"O08.4","Renal failure following ectopic and molar pregnancy"
"O08.5","Metabolic disorders following an ectopic and molar pregnancy"
"O08.83","Urinary tract infection following an ectopic and molar pregnancy"
"O86.22","Infection of bladder following delivery"
"O00.10","Tubal pregnancy without intrauterine pregnancy"
"O43.102","Malformation of placenta, unspecified, second trimester"
"O36.0921","Maternal care for other rhesus isoimmunization, second trimester, fetus 1"
"O34.01","Maternal care for unspecified congenital malformation of uterus, first trimester"
"O99.835","Other infection carrier state complicating the puerperium"
"O32.0XX1","Maternal care for unstable lie, fetus 1"
"O22.12","Genital varices in pregnancy, second trimester"
"O36.1912","Maternal care for other isoimmunization, first trimester, fetus 2"
"O04.6","Delayed or excessive hemorrhage following (induced) termination of pregnancy"
"O36.60X9","Maternal care for excessive fetal growth, unspecified trimester, other fetus"
"O23.511","Infections of cervix in pregnancy, first trimester"
"O35.2XX1","Maternal care for (suspected) hereditary disease in fetus, fetus 1"
"O60.12X3","Preterm labor second trimester with preterm delivery second trimester, fetus 3"
"O86.13","Vaginitis following delivery"
"O31.21X1","Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 1"
"O31.23X0","Continuing pregnancy after intrauterine death of one fetus or more, third trimester, not applicable or unspecified"
"O31.23X1","Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 1"
"O31.22X1","Continuing pregnancy after intrauterine death of one fetus or more, second trimester, fetus 1"
"O36.0115","Maternal care for anti-D [Rh] antibodies, first trimester, fetus 5"
"O35.2XX2","Maternal care for (suspected) hereditary disease in fetus, fetus 2"
"O07.38","Urinary tract infection following failed attempted termination of pregnancy"
"O43.112","Circumvallate placenta, second trimester"
"O92.13","Cracked nipple associated with lactation"
"O36.1120","Maternal care for Anti-A sensitization, second trimester, not applicable or unspecified"
"O36.8135","Decreased fetal movements, third trimester, fetus 5"
"O41.01X0","Oligohydramnios, first trimester, not applicable or unspecified"
"O15.03","Eclampsia complicating pregnancy, third trimester"
"O36.61X9","Maternal care for excessive fetal growth, first trimester, other fetus"
"O30.093","Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester"
"O69.81X9","Labor and delivery complicated by cord around neck, without compression, other fetus"
"O44.53","Low lying placenta with hemorrhage, third trimester"
"O22.22","Superficial thrombophlebitis in pregnancy, second trimester"
"O03.87","Sepsis following complete or unspecified spontaneous abortion"
"O03.37","Sepsis following incomplete spontaneous abortion"
"O63.9","Long labor, unspecified"
"O28.4","Abnormal radiological finding on antenatal screening of mother"
"O87.3","Cerebral venous thrombosis in the puerperium"
"O64.1XX0","Obstructed labor due to breech presentation, not applicable or unspecified"
"O36.60X2","Maternal care for excessive fetal growth, unspecified trimester, fetus 2"
"O10.411","Pre-existing secondary hypertension complicating pregnancy, first trimester"
"O00.211","Right ovarian pregnancy with intrauterine pregnancy"
"O22.13","Genital varices in pregnancy, third trimester"
"O31.12X0","Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, not applicable or unspecified"
"O31.21X0","Continuing pregnancy after intrauterine death of one fetus or more, first trimester, not applicable or unspecified"
"O41.00X4","Oligohydramnios, unspecified trimester, fetus 4"
"O36.1931","Maternal care for other isoimmunization, third trimester, fetus 1"
"O26.51","Maternal hypotension syndrome, first trimester"
"O32.1XX9","Maternal care for breech presentation, other fetus"
"O29.43","Spinal and epidural anesthesia induced headache during pregnancy, third trimester"
"O41.8X32","Other specified disorders of amniotic fluid and membranes, third trimester, fetus 2"
"O36.8191","Decreased fetal movements, unspecified trimester, fetus 1"
"O03.30","Unspecified complication following incomplete spontaneous abortion"
"O35.5XX3","Maternal care for (suspected) damage to fetus by drugs, fetus 3"
"O41.93X2","Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 2"
"O35.2XX9","Maternal care for (suspected) hereditary disease in fetus, other fetus"
"O36.8122","Decreased fetal movements, second trimester, fetus 2"
"O08.1","Delayed or excessive hemorrhage following ectopic and molar pregnancy"
"O90.1","Disruption of perineal obstetric wound"
"O86.21","Infection of kidney following delivery"
"O36.1933","Maternal care for other isoimmunization, third trimester, fetus 3"
"O71.7","Obstetric hematoma of pelvis"
"O35.9XX5","Maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 5"
"O33.3XX0","Maternal care for disproportion due to outlet contraction of pelvis, not applicable or unspecified"
"O33.5XX0","Maternal care for disproportion due to unusually large fetus, not applicable or unspecified"
"O12.00","Gestational edema, unspecified trimester"
"O86.09","Infection of obstetric surgical wound, other surgical site"
"O29.42","Spinal and epidural anesthesia induced headache during pregnancy, second trimester"
"O29.92","Unspecified complication of anesthesia during pregnancy, second trimester"
"O34.599","Maternal care for other abnormalities of gravid uterus, unspecified trimester"
"O34.592","Maternal care for other abnormalities of gravid uterus, second trimester"
"O34.591","Maternal care for other abnormalities of gravid uterus, first trimester"
"O43.012","Fetomaternal placental transfusion syndrome, second trimester"
"O24.819","Other pre-existing diabetes mellitus in pregnancy, unspecified trimester"
"O42.011","Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, first trimester"
"O41.8X21","Other specified disorders of amniotic fluid and membranes, second trimester, fetus 1"
"O12.23","Gestational edema with proteinuria, third trimester"
"O10.42","Pre-existing secondary hypertension complicating childbirth"
"O36.1913","Maternal care for other isoimmunization, first trimester, fetus 3"
"O41.03X9","Oligohydramnios, third trimester, other fetus"
"O36.5110","Maternal care for known or suspected placental insufficiency, first trimester, not applicable or unspecified"
"O34.93","Maternal care for abnormality of pelvic organ, unspecified, third trimester"
"O91.23","Nonpurulent mastitis associated with lactation"
"O07.4","Failed attempted termination of pregnancy without complication"
"O30.132","Triplet pregnancy, trichorionic/triamniotic, second trimester"
"O30.131","Triplet pregnancy, trichorionic/triamniotic, first trimester"
"O30.101","Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
"O30.139","Triplet pregnancy, trichorionic/triamniotic, unspecified trimester"
"O36.5935","Maternal care for other known or suspected poor fetal growth, third trimester, fetus 5"
"O29.011","Aspiration pneumonitis due to anesthesia during pregnancy, first trimester"
"O71.03","Rupture of uterus before onset of labor, third trimester"
"O74.5","Spinal and epidural anesthesia-induced headache during labor and delivery"
"O24.439","Gestational diabetes mellitus in the puerperium, unspecified control"
"O10.219","Pre-existing hypertensive chronic kidney disease complicating pregnancy, unspecified trimester"
"O04.89","(Induced) termination of pregnancy with other complications"
"O32.6XX1","Maternal care for compound presentation, fetus 1"
"O36.8313","Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 3"
"O70.4","Anal sphincter tear complicating delivery, not associated with third degree laceration"
"O36.5929","Maternal care for other known or suspected poor fetal growth, second trimester, other fetus"
"O03.81","Shock following complete or unspecified spontaneous abortion"
"O10.413","Pre-existing secondary hypertension complicating pregnancy, third trimester"
"O23.20","Infections of urethra in pregnancy, unspecified trimester"
"O00.8","Other ectopic pregnancy"
"O31.10X2","Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 2"
"O30.111","Triplet pregnancy with two or more monochorionic fetuses, first trimester"
"O36.0119","Maternal care for anti-D [Rh] antibodies, first trimester, other fetus"
"O33.2","Maternal care for disproportion due to inlet contraction of pelvis"
"O14.22","HELLP syndrome (HELLP), second trimester"
"O33.5XX1","Maternal care for disproportion due to unusually large fetus, fetus 1"
"O71.00","Rupture of uterus before onset of labor, unspecified trimester"
"O43.90","Unspecified placental disorder, unspecified trimester"
"O41.00X1","Oligohydramnios, unspecified trimester, fetus 1"
"O41.00X2","Oligohydramnios, unspecified trimester, fetus 2"
"O23.31","Infections of other parts of urinary tract in pregnancy, first trimester"
"O00.21","Ovarian pregnancy with intrauterine pregnancy"
"O00.219","Unspecified ovarian pregnancy with intrauterine pregnancy"
"O48.1","Prolonged pregnancy"
"O36.63X4","Maternal care for excessive fetal growth, third trimester, fetus 4"
"O36.91X0","Maternal care for fetal problem, unspecified, first trimester, not applicable or unspecified"
"O36.91X1","Maternal care for fetal problem, unspecified, first trimester, fetus 1"
"O66.3","Obstructed labor due to other abnormalities of fetus"
"O70.21","Third degree perineal laceration during delivery, IIIa"
"O36.1135","Maternal care for Anti-A sensitization, third trimester, fetus 5"
"O35.0XX5","Maternal care for (suspected) central nervous system malformation in fetus, fetus 5"
"O44.21","Partial placenta previa NOS or without hemorrhage, first trimester"
"O43.101","Malformation of placenta, unspecified, first trimester"
"O36.1921","Maternal care for other isoimmunization, second trimester, fetus 1"
"O40.1XX2","Polyhydramnios, first trimester, fetus 2"
"O40.2XX2","Polyhydramnios, second trimester, fetus 2"
"O35.2XX5","Maternal care for (suspected) hereditary disease in fetus, fetus 5"
"O36.8290","Fetal anemia and thrombocytopenia, unspecified trimester, not applicable or unspecified"
"O23.512","Infections of cervix in pregnancy, second trimester"
"O22.91","Venous complication in pregnancy, unspecified, first trimester"
"O26.712","Subluxation of symphysis (pubis) in pregnancy, second trimester"
"O46.8X9","Other antepartum hemorrhage, unspecified trimester"
"O99.830","Other infection carrier state complicating pregnancy"
"O36.0122","Maternal care for anti-D [Rh] antibodies, second trimester, fetus 2"
"O99.841","Bariatric surgery status complicating pregnancy, first trimester"
"O25.13","Malnutrition in pregnancy, third trimester"
"O26.822","Pregnancy related peripheral neuritis, second trimester"
"O10.211","Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester"
"O86.19","Other infection of genital tract following delivery"
"O88.82","Other embolism in childbirth"
"O88.32","Pyemic and septic embolism in childbirth"
"O36.22X0","Maternal care for hydrops fetalis, second trimester, not applicable or unspecified"
"O33.9","Maternal care for disproportion, unspecified"
"O26.02","Excessive weight gain in pregnancy, second trimester"
"O88.819","Other embolism in pregnancy, unspecified trimester"
"O63.2","Delayed delivery of second twin, triplet, etc."
"O69.9XX1","Labor and delivery complicated by cord complication, unspecified, fetus 1"
"O36.80X2","Pregnancy with inconclusive fetal viability, fetus 2"
"O00.0","Abdominal pregnancy"
"O36.4XX2","Maternal care for intrauterine death, fetus 2"
"O69.81X2","Labor and delivery complicated by cord around neck, without compression, fetus 2"
"O31.22X0","Continuing pregnancy after intrauterine death of one fetus or more, second trimester, not applicable or unspecified"
"O42.111","Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, first trimester"
"O41.02X2","Oligohydramnios, second trimester, fetus 2"
"O31.20X0","Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, not applicable or unspecified"
"O30.91","Multiple gestation, unspecified, first trimester"
"O41.1031","Infection of amniotic sac and membranes, unspecified, third trimester, fetus 1"
"O43.222","Placenta increta, second trimester"
"O43.229","Placenta increta, unspecified trimester"
"O33.4XX1","Maternal care for disproportion of mixed maternal and fetal origin, fetus 1"
"O36.8911","Maternal care for other specified fetal problems, first trimester, fetus 1"
"O12.01","Gestational edema, first trimester"
"O36.1910","Maternal care for other isoimmunization, first trimester, not applicable or unspecified"
"O36.0112","Maternal care for anti-D [Rh] antibodies, first trimester, fetus 2"
"O36.0192","Maternal care for anti-D [Rh] antibodies, unspecified trimester, fetus 2"
"O90.2","Hematoma of obstetric wound"
"O08.9","Unspecified complication following an ectopic and molar pregnancy"
"O15.00","Eclampsia complicating pregnancy, unspecified trimester"
"O32.8XX2","Maternal care for other malpresentation of fetus, fetus 2"
"O36.23X0","Maternal care for hydrops fetalis, third trimester, not applicable or unspecified"
"O75.0","Maternal distress during labor and delivery"
"O36.0932","Maternal care for other rhesus isoimmunization, third trimester, fetus 2"
"O60.10X9","Preterm labor with preterm delivery, unspecified trimester, other fetus"
"O64.0XX2","Obstructed labor due to incomplete rotation of fetal head, fetus 2"
"O03.88","Urinary tract infection following complete or unspecified spontaneous abortion"
"O36.8921","Maternal care for other specified fetal problems, second trimester, fetus 1"
"O36.8929","Maternal care for other specified fetal problems, second trimester, other fetus"
"O99.315","Alcohol use complicating the puerperium"
"O04.80","(Induced) termination of pregnancy with unspecified complications"
"O74.8","Other complications of anesthesia during labor and delivery"
"O36.5139","Maternal care for known or suspected placental insufficiency, third trimester, other fetus"
"O66.6","Obstructed labor due to other multiple fetuses"
"O41.8X31","Other specified disorders of amniotic fluid and membranes, third trimester, fetus 1"
"O34.92","Maternal care for abnormality of pelvic organ, unspecified, second trimester"
"O36.0929","Maternal care for other rhesus isoimmunization, second trimester, other fetus"
"O36.0925","Maternal care for other rhesus isoimmunization, second trimester, fetus 5"
"O31.23X2","Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 2"
"O31.13X0","Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, not applicable or unspecified"
"O36.62X1","Maternal care for excessive fetal growth, second trimester, fetus 1"
"O36.71X0","Maternal care for viable fetus in abdominal pregnancy, first trimester, not applicable or unspecified"
"O60.23X1","Term delivery with preterm labor, third trimester, fetus 1"
"O35.0XX9","Maternal care for (suspected) central nervous system malformation in fetus, other fetus"
"O41.1490","Placentitis, unspecified trimester, not applicable or unspecified"
"O60.20X0","Term delivery with preterm labor, unspecified trimester, not applicable or unspecified"
"O41.00X3","Oligohydramnios, unspecified trimester, fetus 3"
"O36.8991","Maternal care for other specified fetal problems, unspecified trimester, fetus 1"
"O36.8992","Maternal care for other specified fetal problems, unspecified trimester, fetus 2"
"O36.8192","Decreased fetal movements, unspecified trimester, fetus 2"
"O36.8321","Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 1"
"O08.3","Shock following ectopic and molar pregnancy"
"O41.8X11","Other specified disorders of amniotic fluid and membranes, first trimester, fetus 1"
"O98.62","Protozoal diseases complicating childbirth"
"O33.6XX0","Maternal care for disproportion due to hydrocephalic fetus, not applicable or unspecified"
"O91.02","Infection of nipple associated with the puerperium"
"O41.1010","Infection of amniotic sac and membranes, unspecified, first trimester, not applicable or unspecified"
"O36.5912","Maternal care for other known or suspected poor fetal growth, first trimester, fetus 2"
